batchID,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11,test12,test13,test14,test15,test16,test17,test18,test19,test20,test21,test22,test23,test24,test25,test26,test27,test28,test29,test30
B010697,491,913,140,578,37,123,39,623,78,292,758,610,705,843,903,420,526,408,694,500,345,316,379,477,233,113,337,785,477,885
B030339,104,543,479,437,447,150,64,965,852,379,206,15,980,372,437,31,746,712,725,980,941,987,257,707,353,353,304,441,234,603
B045414,757,275,338,2,713,372,999,510,413,131,711,939,870,866,754,168,220,666,371,673,259,237,839,924,152,964,402,437,609,205
B014364,472,377,308,540,728,41,840,4,49,723,678,904,244,292,759,428,198,271,965,48,465,364,134,457,287,470,311,832,250,768
B048180,485,88,571,492,297,799,900,962,499,22,650,313,194,155,13,428,575,298,251,29,798,603,197,85,302,277,395,299,86,81
B050008,712,932,667,736,597,379,887,988,392,716,275,843,322,99,639,850,543,158,98,939,447,543,349,81,498,982,342,122,267,948
B026939,249,146,414,343,491,286,444,189,635,108,485,276,673,113,676,468,634,569,409,429,991,368,143,626,890,874,664,747,226,331
B003661,335,441,986,337,622,846,843,635,315,352,515,371,189,126,458,484,391,862,215,614,666,410,521,209,5,17,742,109,103,69
B009440,693,890,727,782,103,399,108,354,991,935,918,871,880,218,905,854,333,695,692,118,122,995,452,915,448,343,908,291,439,766
B027963,192,796,934,439,52,891,425,928,617,516,856,714,487,449,827,418,353,479,310,990,598,497,251,585,554,528,683,684,628,570
B027706,547,579,656,498,921,43,240,597,15,791,810,655,666,630,726,344,359,787,645,355,165,924,501,396,282,412,291,627,445,935
B027818,86,61,320,99,175,361,792,760,320,601,754,616,847,399,352,461,637,791,218,449,949,629,448,129,177,692,115,351,285,294
B040219,701,716,241,915,875,932,733,69,735,322,264,558,412,46,716,317,711,501,757,388,570,147,834,800,229,395,360,556,730,394
B045512,630,394,394,592,916,594,150,578,856,581,261,305,208,525,771,782,29,207,933,968,903,362,306,664,78,334,439,183,826,526
B020036,285,612,71,147,826,589,675,494,817,907,124,291,290,884,53,664,905,143,5,162,221,991,466,934,891,968,67,447,338,5
B044922,921,808,921,302,821,446,710,889,314,208,836,813,566,136,796,42,27,428,451,291,746,919,162,705,512,214,488,683,12,309
B005118,894,897,845,124,264,452,311,260,293,102,689,879,233,495,26,600,2,636,554,863,788,432,331,179,743,736,366,439,182,67
B033440,862,578,411,418,591,576,718,561,897,850,456,353,325,678,268,598,288,835,657,578,401,487,721,291,171,778,628,412,436,872
B030523,111,935,145,638,133,30,64,457,941,396,49,256,260,279,873,812,818,600,68,234,837,813,843,265,969,226,278,258,80,440
B039079,34,772,172,519,170,823,689,38,10,68,812,920,71,107,904,632,357,935,792,982,343,119,444,425,328,820,581,762,16,74
B046583,766,209,102,298,188,311,460,404,5,605,535,150,496,188,134,225,516,836,529,920,608,288,965,403,850,330,843,900,419,986
B012253,773,129,299,556,639,133,276,788,525,87,621,365,927,885,492,653,200,157,925,555,63,644,716,778,109,580,108,810,957,260
B007588,54,129,382,971,630,863,628,733,882,381,574,629,435,794,380,183,240,889,129,78,981,447,970,801,511,928,794,335,65,130
B034524,716,485,671,217,353,467,913,782,423,103,127,164,50,715,323,832,588,334,794,329,806,672,19,636,520,371,510,173,102,592
B003367,715,206,219,0,669,939,397,38,561,476,560,426,190,302,852,88,335,486,615,778,548,175,869,344,2,555,845,532,176,311
B002801,328,668,828,518,450,759,940,474,657,233,291,242,210,19,746,897,977,876,892,492,781,483,696,547,215,38,689,582,827,286
B011600,63,782,604,113,520,860,906,510,677,80,668,6,817,849,635,951,524,467,976,701,911,699,460,485,565,309,676,890,488,472
B019399,52,847,935,220,865,477,912,690,601,251,317,96,860,493,278,474,783,236,821,349,357,120,925,673,145,355,330,355,455,924
B000153,457,781,958,120,251,391,266,128,528,84,193,420,497,627,182,326,549,86,624,612,63,546,180,431,525,885,455,695,313,832
B037734,904,592,270,324,499,55,423,342,659,495,841,630,934,304,170,208,437,664,401,820,777,242,346,380,472,684,337,808,649,21
B015980,207,178,15,380,245,794,324,979,172,419,295,685,284,104,652,707,993,28,879,370,426,713,347,780,387,159,869,226,884,669
B003867,552,211,626,112,247,689,577,481,694,256,681,97,350,114,764,712,869,638,427,905,978,710,215,543,432,134,356,175,569,463
B022964,569,37,853,629,172,50,786,12,938,154,132,10,452,947,902,368,995,108,127,841,111,849,445,985,152,658,509,831,141,697
B001788,169,99,310,741,910,631,680,134,326,222,370,282,366,482,971,341,482,266,698,917,859,602,222,638,974,429,121,20,461,278
B023231,322,382,171,99,17,766,170,600,879,529,376,288,120,912,175,334,980,713,665,210,349,499,385,262,926,35,384,627,352,483
B048807,73,252,234,494,571,252,387,234,548,749,720,959,64,644,864,574,215,587,656,386,815,444,602,276,114,241,968,895,135,504
B006657,688,28,573,928,725,505,38,367,986,245,628,607,674,798,109,885,857,562,583,265,122,970,211,777,362,813,923,429,62,952
B010657,575,311,381,323,168,17,899,245,781,84,542,93,168,350,556,690,63,373,583,822,724,242,103,968,358,433,219,760,125,913
B049084,930,723,807,840,86,181,520,512,977,472,477,470,575,702,930,205,689,601,896,881,436,684,837,851,279,952,622,893,111,295
B010802,519,197,269,893,551,581,605,921,536,784,413,84,236,715,712,536,253,413,557,843,320,412,489,610,448,250,29,750,364,121
B042625,525,974,893,743,952,366,776,884,440,96,263,10,964,604,468,99,651,378,603,74,778,201,983,250,608,525,530,880,264,704
B021052,691,630,561,753,970,420,395,601,753,225,681,573,716,902,941,294,657,970,778,307,62,264,178,369,229,734,427,146,779,818
B038571,865,704,495,213,715,361,29,150,712,187,203,420,125,424,659,910,339,722,723,168,430,781,108,483,704,326,254,20,60,951
B025659,765,48,484,414,150,394,248,872,903,586,911,267,285,119,483,211,60,657,117,358,206,915,879,321,555,938,720,378,249,493
B003643,87,433,117,711,177,51,806,449,793,820,234,760,158,967,118,489,464,615,710,282,851,535,272,171,658,247,71,470,566,821
B038650,281,737,340,367,234,819,582,383,897,486,283,7,296,553,18,198,385,99,852,294,116,279,901,154,922,41,761,602,644,754
B025064,901,652,107,509,333,153,448,612,755,841,264,244,751,572,333,451,717,710,517,868,366,278,822,544,212,747,715,674,548,287
B031671,11,741,689,501,922,689,131,708,685,772,892,236,4,532,666,996,205,246,237,490,311,371,140,291,298,540,72,805,347,537
B008092,224,545,500,570,128,505,95,715,998,745,558,767,950,259,730,544,789,514,292,20,424,884,277,241,239,930,340,286,202,179
B006742,743,907,441,692,2,263,961,84,978,395,678,547,298,143,337,424,904,577,142,613,474,846,556,508,216,492,620,101,195,500
B043292,740,726,619,308,614,554,698,122,82,382,713,88,484,517,790,582,465,114,679,983,449,405,285,882,179,210,643,932,284,228
B008480,615,462,923,137,292,203,705,832,491,650,604,305,385,472,345,957,348,590,609,93,884,584,102,143,650,259,462,347,539,885
B025942,771,964,75,309,357,864,976,438,865,216,858,905,213,863,925,475,943,528,386,425,277,279,671,499,194,520,156,343,675,822
B039371,842,580,680,330,364,43,30,1,625,754,351,948,902,272,623,205,40,41,441,585,787,918,674,235,243,722,346,147,893,119
B045570,497,78,299,601,633,849,174,722,726,48,309,294,895,689,81,690,863,713,778,690,111,964,61,945,390,967,664,95,586,910
B012126,862,609,174,29,924,105,398,108,716,174,303,199,891,419,903,965,774,302,249,535,328,370,57,66,7,14,16,244,835,609
B036182,697,249,503,982,578,590,337,291,196,608,47,613,722,27,459,566,361,141,566,108,500,723,528,493,490,99,943,460,560,772
B011598,383,445,185,364,362,94,595,612,400,976,176,570,522,750,866,144,423,718,153,987,375,866,200,134,553,421,393,97,970,705
B034119,763,107,133,40,575,654,680,981,671,728,290,888,953,224,834,399,514,574,780,806,774,827,965,8,440,832,45,794,66,312
B040250,951,37,798,703,539,147,868,557,160,990,739,627,133,936,813,661,380,643,805,171,533,306,846,21,193,34,129,928,133,300
B033724,602,53,42,706,805,587,794,41,802,348,64,967,390,424,35,472,138,501,589,755,349,399,793,27,948,43,747,525,631,629
B007653,454,748,779,216,325,369,611,396,605,124,870,326,680,626,830,483,367,930,357,926,299,346,960,380,920,678,868,447,16,975
B027240,745,585,640,418,757,463,51,554,283,744,14,164,336,317,170,927,785,620,564,292,532,330,44,245,606,389,856,577,955,743
B007971,560,615,198,45,139,384,903,116,685,630,192,550,70,479,573,932,61,704,794,704,759,378,298,142,24,286,875,587,426,670
B005346,631,795,165,724,371,460,298,739,403,578,588,226,543,785,212,774,762,947,837,432,45,744,152,271,827,746,266,712,269,61
B023223,462,485,280,675,798,378,700,988,780,95,441,788,830,258,981,870,752,440,569,944,982,991,193,722,796,283,789,983,942,734
B003883,498,103,307,771,917,133,82,82,121,813,580,745,425,971,78,393,700,715,272,272,255,434,31,910,667,514,397,24,738,158
B023759,581,441,24,808,933,191,147,560,894,679,709,444,448,934,855,436,162,728,271,516,143,746,548,90,405,856,260,488,887,911
B008429,153,447,171,411,926,735,896,211,492,582,568,624,379,378,154,702,975,179,57,335,369,353,159,478,808,916,260,237,800,13
B048914,441,523,943,790,518,205,390,304,542,552,187,836,560,766,698,717,363,20,138,247,453,651,572,548,974,264,755,953,382,237
B035160,529,714,165,321,948,871,277,295,881,714,624,704,715,652,882,532,620,808,183,306,873,62,788,47,333,574,773,479,215,166
B032884,910,717,591,791,706,181,764,960,280,349,564,695,430,130,988,534,405,797,66,183,950,271,537,958,742,13,640,538,87,981
B012217,729,880,803,291,409,563,120,159,846,761,729,934,780,91,799,549,402,998,847,261,929,551,626,90,258,127,421,674,788,831
B032296,74,911,435,601,405,116,581,474,824,503,979,250,756,509,245,759,369,133,587,350,64,586,98,639,838,555,28,793,96,268
B019114,750,224,156,723,549,399,355,76,280,941,542,16,669,111,738,894,193,912,722,679,253,141,860,364,942,42,749,661,470,908
B016600,920,534,188,962,136,528,187,642,813,902,821,111,573,177,679,212,771,588,639,5,818,738,386,552,965,821,499,378,329,877
B030453,833,863,77,133,166,3,540,196,196,654,422,893,54,369,611,952,978,575,586,315,628,564,809,196,800,665,779,948,711,316
B002653,200,603,941,830,996,750,53,405,391,557,955,495,978,112,485,736,301,479,910,754,715,376,65,980,713,540,110,557,750,305
B036595,35,171,990,629,498,566,552,269,139,451,776,637,660,833,377,839,982,804,506,470,667,124,704,419,404,525,350,184,913,425
B036397,309,744,988,96,956,171,388,82,436,123,169,717,731,488,39,610,318,317,195,509,328,703,928,625,669,711,319,639,209,69
B038915,961,816,689,272,638,191,846,583,790,151,186,933,856,495,973,994,176,275,197,595,185,32,230,128,67,864,808,895,363,937
B014286,220,497,419,86,289,758,698,80,872,154,22,471,839,824,463,69,278,22,454,33,314,562,620,662,428,971,274,884,623,820
B009152,278,267,468,901,229,89,48,761,532,603,84,462,758,451,938,636,715,764,539,563,354,623,237,33,814,806,100,99,784,583
B033933,494,260,44,410,412,566,924,817,645,291,912,384,143,733,209,617,758,563,989,427,164,11,582,307,290,861,611,567,663,527
B039579,349,670,27,910,64,445,411,186,161,660,426,363,900,751,359,623,445,221,781,962,357,585,610,974,707,604,244,704,434,429
B005092,537,652,574,681,861,288,939,827,668,954,694,355,142,969,2,629,80,176,228,435,437,828,795,209,122,533,651,470,98,372
B029607,217,56,120,395,107,871,495,592,669,186,653,72,64,317,91,839,921,954,373,289,671,584,921,734,268,176,875,969,729,698
B050019,423,617,481,57,935,216,552,716,350,47,38,860,331,241,391,734,837,889,569,380,773,925,834,535,951,731,663,400,777,914
B011928,671,336,770,427,40,398,220,947,833,144,658,290,881,486,56,42,783,217,745,37,153,828,239,742,725,377,86,279,493,231
B003016,621,460,648,224,281,122,852,862,124,845,433,369,706,408,566,45,513,587,589,915,476,155,168,646,761,549,181,202,278,814
B032523,286,561,426,967,469,218,94,595,465,427,971,864,160,168,534,288,980,457,212,670,947,225,9,919,374,310,810,25,206,470
B037772,262,16,822,79,97,624,386,518,673,200,867,689,363,147,533,710,740,428,581,631,645,296,443,202,606,315,441,119,399,638
B042406,222,760,276,585,148,537,780,718,973,162,403,985,138,145,607,620,793,488,602,763,207,992,620,817,790,82,921,655,113,928
B018910,271,866,390,448,597,766,415,6,749,267,966,237,590,650,81,174,228,840,624,606,625,33,316,380,82,542,370,727,29,807
B011034,999,751,525,124,609,565,870,198,281,508,797,428,468,892,542,520,842,39,877,955,537,65,319,675,270,174,455,249,524,600
B048059,244,953,464,321,641,202,752,528,377,191,114,974,492,337,649,385,600,225,83,645,350,556,836,706,949,272,17,548,70,136
B032194,905,725,859,306,639,450,274,601,637,587,678,411,47,464,484,793,345,457,821,621,129,5,337,395,464,539,866,178,562,438
B038935,696,930,805,300,396,391,912,425,817,36,557,929,994,989,543,593,847,757,677,668,962,35,362,133,328,620,640,643,751,617
B034194,802,622,818,868,531,893,12,348,764,408,55,366,316,868,775,847,658,913,935,6,499,91,246,550,101,850,171,460,80,805
B026221,157,741,837,447,347,943,266,426,141,311,914,623,558,942,435,668,370,414,154,602,558,649,769,786,679,360,499,548,883,653
B032154,941,412,143,440,244,479,391,805,871,24,570,869,185,857,729,309,976,499,640,819,618,395,654,527,260,778,262,70,160,46
B028835,419,925,966,255,768,658,251,41,209,680,189,509,84,401,77,364,313,376,200,50,982,599,35,699,607,480,525,385,406,36
B030414,873,866,818,321,994,671,527,248,498,617,228,300,782,210,288,501,980,430,93,394,726,648,234,76,903,116,200,923,629,768
B026398,926,840,935,79,893,759,768,107,940,887,951,638,129,606,206,62,539,992,380,724,659,997,563,601,457,783,5,111,75,884
B009710,485,608,932,614,626,704,677,559,157,311,595,635,789,861,212,118,690,635,191,328,596,373,891,739,581,842,912,248,960,907
B039096,894,458,635,590,744,937,198,842,912,76,200,65,495,51,435,812,299,843,125,255,866,918,808,84,470,523,873,681,300,282
B032028,658,644,423,743,931,906,216,512,91,446,583,930,367,266,647,681,811,620,562,439,478,173,660,120,621,780,620,31,478,473
B044023,12,108,445,392,376,930,602,215,454,947,351,161,730,779,647,930,434,201,977,571,865,630,701,524,458,712,126,463,763,99
B024638,897,769,421,843,326,759,230,150,747,494,431,741,399,941,208,491,545,168,569,804,811,966,540,597,766,553,729,676,773,290
B013561,346,310,172,245,720,461,346,82,829,57,36,175,603,250,705,740,958,254,162,64,576,368,952,889,702,325,159,900,109,870
B033602,508,577,3,459,552,474,934,757,175,743,102,216,836,113,350,135,569,845,625,64,157,663,375,582,117,32,446,906,133,518
B003581,654,687,303,947,715,68,402,492,608,825,777,717,33,169,23,672,724,693,894,389,44,953,502,947,327,767,583,391,524,92
B025459,346,360,264,778,140,40,296,343,9,948,192,60,958,108,579,768,556,627,867,284,215,259,732,90,314,121,395,727,998,302
B041212,891,267,351,726,628,455,381,720,861,23,733,575,327,181,688,862,72,945,616,462,669,142,572,11,348,570,876,378,131,32
B030209,430,696,348,881,110,29,580,174,718,428,436,113,663,424,832,476,726,324,920,16,228,332,903,884,99,151,742,964,363,662
B035654,156,663,808,582,521,844,518,28,231,734,415,658,3,221,631,59,911,61,198,763,519,364,285,347,639,104,278,394,668,526
B037724,624,660,187,974,971,851,261,180,195,141,174,807,378,936,898,318,246,814,705,618,359,985,939,314,973,579,985,408,701,905
B020044,902,288,232,145,886,343,958,322,194,330,288,334,588,502,815,575,194,811,675,610,49,570,168,276,384,556,282,291,668,623
B004385,625,866,217,911,127,411,978,248,627,860,81,216,564,735,369,684,832,699,590,317,833,381,593,520,480,961,77,879,630,219
B032818,262,160,244,145,312,43,292,25,841,243,779,279,457,817,287,540,926,233,331,880,365,332,176,22,796,636,526,568,186,12
B025739,34,759,158,143,5,487,776,537,167,314,658,534,206,702,954,887,445,537,678,432,227,902,310,42,525,330,361,138,217,950
B044334,462,360,992,202,742,575,27,833,976,240,126,657,662,869,260,802,677,475,522,292,948,318,169,447,429,376,234,331,600,316
B050352,221,98,158,238,717,839,737,781,331,124,100,161,543,588,591,821,668,639,941,505,826,63,889,564,318,536,448,896,576,591
B035041,902,434,150,398,284,234,871,88,55,232,152,25,652,977,215,906,164,120,361,908,891,165,143,413,761,409,20,784,271,14
B011711,584,112,773,390,422,650,171,723,328,374,584,820,239,43,450,239,137,314,348,712,528,938,322,835,892,212,49,317,8,535
B012357,559,437,213,838,155,913,25,828,791,457,743,153,691,824,686,202,443,60,798,303,739,285,52,121,540,869,686,849,731,256
B044417,556,899,74,705,727,128,104,22,104,869,286,606,812,762,554,240,403,629,481,285,737,696,710,861,269,27,812,594,47,746
B016371,803,497,680,74,109,309,101,645,217,279,309,142,803,529,900,649,924,624,540,853,399,113,148,128,103,105,557,887,413,588
B048768,101,1,330,253,249,798,235,948,324,819,150,542,694,522,847,693,536,626,915,477,100,183,628,991,217,382,635,619,520,689
B011351,977,61,538,777,296,117,236,480,18,628,333,615,724,759,81,42,129,997,730,400,444,938,476,534,276,156,184,21,778,523
B032519,909,412,481,376,383,825,716,544,811,720,167,133,993,34,107,241,461,817,273,866,370,429,101,47,617,146,709,377,549,725
B002814,449,398,286,810,552,992,927,483,224,224,405,674,858,285,886,771,339,170,24,575,594,110,916,682,353,944,194,966,724,225
B034501,467,511,631,520,194,941,490,389,834,498,345,492,952,304,544,765,502,862,638,669,929,575,176,643,278,792,245,920,193,901
B022780,218,152,451,371,531,22,99,202,374,485,566,655,822,369,833,16,342,812,348,482,842,814,705,584,873,446,79,267,837,587
B008764,979,795,232,22,542,751,996,304,916,683,15,0,153,651,453,184,219,450,879,713,445,941,163,119,284,482,918,710,735,206
B023705,575,825,152,476,129,844,65,127,198,665,924,746,836,195,777,451,441,135,356,110,406,154,686,18,548,991,793,606,523,355
B012942,861,973,264,545,387,259,472,262,444,913,154,336,859,869,700,298,139,267,288,688,658,468,681,662,241,79,553,210,255,288
B010699,257,612,319,117,709,280,823,220,952,518,418,787,898,871,759,139,28,274,231,340,133,79,903,553,480,822,898,473,733,679
B010154,752,820,423,175,352,32,896,804,119,640,891,344,621,125,902,768,476,824,222,583,15,563,473,69,863,608,640,546,235,52
B029072,640,529,200,143,38,455,800,626,791,980,500,989,832,778,630,852,253,642,606,763,120,462,379,939,57,735,5,886,641,868
B020225,486,548,799,935,109,474,777,377,603,840,106,360,997,337,159,352,956,958,970,60,736,382,428,919,962,35,275,678,369,608
B048994,621,693,661,455,908,806,426,542,363,595,358,979,538,559,239,503,2,589,791,198,428,627,89,41,51,505,942,107,282,171
B013887,692,858,718,401,778,816,859,525,170,705,947,814,302,886,563,18,144,587,902,87,808,687,533,531,133,702,535,791,623,233
B015488,408,401,725,483,47,617,454,609,146,814,391,718,847,21,87,740,469,76,92,423,211,46,289,426,570,208,530,434,738,370
B018738,343,269,495,799,99,8,730,992,927,68,28,382,642,9,966,302,511,20,711,444,440,616,160,391,36,141,959,931,306,736
B019086,305,489,511,480,153,620,28,152,677,330,133,830,976,396,162,91,974,1,855,650,260,602,453,216,692,343,195,625,191,167
B048537,66,68,388,959,120,16,589,289,153,869,235,389,680,958,336,965,886,614,261,298,821,540,172,670,623,158,703,865,630,672
B005192,248,977,774,308,479,443,57,774,165,347,476,674,571,294,284,309,295,637,989,456,274,212,618,186,865,191,458,649,849,455
B011525,372,310,62,51,954,333,545,110,111,521,421,99,561,804,133,729,239,825,84,213,594,193,630,384,245,286,42,888,580,224
B007155,401,878,331,896,338,372,151,775,300,441,71,462,559,130,99,717,459,20,180,362,349,344,962,585,992,787,612,834,559,33
B031192,667,393,651,574,548,653,836,732,629,79,565,901,839,244,19,440,472,625,60,107,727,459,464,232,940,113,783,153,945,846
B009647,543,613,273,809,344,146,704,937,941,798,465,100,130,65,211,430,513,628,775,507,54,136,332,452,444,583,187,264,310,487
B028418,97,84,328,26,331,836,420,8,474,9,362,272,302,153,185,818,727,206,429,36,514,628,11,803,657,293,779,243,568,92
B002461,512,56,927,378,396,222,122,643,434,725,51,180,311,965,201,874,71,269,259,942,764,941,217,538,126,669,583,367,445,574
B038501,50,591,734,137,552,286,895,71,350,164,814,193,604,266,467,805,804,283,271,344,427,918,839,510,824,83,502,822,721,870
B005975,492,942,110,779,487,928,869,730,222,461,572,225,1,425,546,769,769,293,212,391,36,790,954,253,670,416,747,626,588,436
B010890,823,285,810,615,725,844,997,739,877,392,166,682,951,416,6,947,560,333,836,621,871,191,591,231,983,747,788,325,407,726
B027879,980,897,3,702,627,129,513,595,927,576,953,564,789,131,992,509,496,495,679,229,73,419,471,828,359,176,934,176,981,303
B027575,114,537,552,854,279,91,379,393,857,454,369,639,310,837,531,902,496,488,235,38,842,998,813,258,751,603,555,330,945,977
B034839,923,551,422,438,87,300,162,494,460,337,313,250,190,812,303,436,333,272,729,421,698,591,950,353,151,917,522,396,22,954
B046615,916,764,468,184,194,283,492,326,414,269,860,476,892,456,247,57,846,191,605,839,487,342,72,388,257,984,600,8,387,765
B004941,579,368,280,94,72,736,206,455,474,405,468,292,439,942,204,303,99,226,93,6,487,531,454,128,344,225,368,350,423,31
B002354,10,417,928,78,802,610,800,802,799,282,703,691,410,23,978,443,456,176,287,54,461,565,97,948,608,523,426,461,11,584
B011404,655,113,477,849,116,811,275,551,222,771,502,549,150,755,569,463,899,15,283,730,605,214,848,243,895,651,34,652,742,765
B048956,328,890,819,204,37,813,797,645,976,604,521,131,394,965,319,928,12,959,140,571,144,510,64,288,166,117,437,740,18,915
B011343,245,632,739,180,144,900,119,243,725,201,686,789,466,370,241,445,262,607,804,233,523,542,174,283,124,179,839,459,609,923
B046300,23,88,434,646,64,984,411,326,273,809,900,620,863,234,258,31,19,270,662,137,795,941,927,358,802,969,664,904,47,86
B040631,488,516,388,648,897,254,237,763,711,297,942,249,970,133,889,155,392,415,40,817,174,622,259,507,868,84,699,569,966,764
B042897,489,489,646,496,423,782,986,900,171,754,822,43,630,348,222,405,300,133,2,488,194,956,796,923,894,740,848,893,353,348
B005886,423,786,164,667,73,357,194,827,286,319,865,390,237,632,56,77,255,551,506,672,835,322,183,139,459,603,797,439,507,694
B012233,203,339,62,730,81,670,861,514,166,442,866,981,138,474,616,641,439,180,861,909,461,600,605,648,655,655,182,728,895,550
B019393,578,769,746,640,866,601,449,756,946,499,408,546,52,134,736,764,601,465,322,756,577,252,10,431,603,500,701,57,53,885
B038050,570,369,282,350,957,819,847,327,615,850,526,374,440,574,42,428,131,423,254,194,698,753,567,819,648,90,236,80,553,417
B035415,588,961,387,461,440,87,58,56,423,71,184,320,307,462,321,592,630,544,798,941,968,376,284,391,860,223,299,544,30,271
B045138,866,471,314,881,785,625,927,806,743,654,236,820,819,357,415,607,465,973,722,681,534,566,121,398,113,463,387,639,852,278
B036620,793,840,549,816,461,504,806,637,684,663,323,881,909,556,895,889,460,664,425,923,137,230,857,197,973,388,395,146,96,876
B037485,901,5,25,95,482,288,638,196,986,615,255,502,41,181,937,831,422,841,75,453,27,727,900,482,930,520,791,648,478,928
B016296,703,699,287,731,700,604,33,609,481,684,448,636,139,82,896,47,163,662,554,125,646,554,785,687,768,971,834,835,256,74
B027749,704,502,263,8,857,78,257,27,680,348,520,274,412,212,223,870,721,563,883,179,242,16,85,774,884,489,554,177,106,764
B005982,643,793,441,126,933,984,469,604,263,665,646,927,804,444,55,96,969,354,85,839,29,187,852,162,991,500,438,903,374,532
B000969,928,750,729,990,976,331,528,555,742,689,504,50,666,378,741,49,815,847,604,8,190,548,924,450,655,423,310,878,678,580
B007858,251,5,77,335,273,680,905,278,333,774,381,903,686,553,841,940,637,245,813,255,376,106,441,223,669,266,503,766,170,878
B020838,460,909,367,180,312,549,564,77,756,685,326,305,66,373,896,452,307,830,620,430,122,372,614,159,578,164,335,61,928,822
B048160,943,600,548,111,61,406,66,755,316,536,267,570,13,74,104,614,247,582,286,997,276,193,977,105,217,310,635,110,916,940
B006752,478,690,522,375,74,492,650,723,643,29,684,609,138,886,655,460,289,979,302,358,561,380,392,245,63,727,771,130,174,249
B005912,185,283,646,38,688,207,781,390,652,653,454,796,689,994,823,862,89,687,0,91,962,253,733,129,335,787,178,186,259,820
B001662,71,998,257,234,752,99,375,954,544,560,484,579,726,174,194,403,866,189,842,788,340,390,210,41,231,380,52,484,463,264
B035574,137,868,102,382,587,393,818,519,489,182,667,121,637,344,443,760,93,380,358,285,212,326,797,289,799,0,284,839,701,637
B021363,456,168,583,315,203,877,239,315,377,610,455,838,681,680,727,880,891,810,982,847,82,946,254,933,659,638,315,853,299,405
B001792,468,837,476,489,468,849,772,816,300,863,363,595,664,516,428,717,51,747,304,512,840,892,400,327,263,805,679,186,274,674
B037971,46,333,25,57,677,265,190,416,924,203,328,245,603,294,287,770,661,886,781,406,245,522,369,813,897,966,103,881,988,732
B011106,526,406,48,734,862,848,670,468,467,845,364,748,342,746,280,469,836,899,884,811,295,439,362,777,394,427,239,474,627,825
B041312,322,234,114,179,207,561,282,928,258,66,236,410,193,613,976,108,8,514,804,310,594,929,42,783,601,599,519,637,714,704
B032294,712,671,322,393,514,661,337,440,231,881,714,444,478,322,366,311,974,818,155,535,738,807,833,877,900,217,411,581,627,24
B015017,754,978,499,932,321,300,181,824,754,111,834,255,59,428,192,630,354,439,416,297,222,212,482,820,971,158,927,395,27,693
B009400,908,261,214,175,68,631,726,343,503,314,372,130,465,637,465,857,904,813,106,74,148,487,300,543,936,499,542,781,611,502
B007349,623,572,812,331,209,35,843,546,654,570,949,756,358,334,386,931,861,769,35,49,554,245,874,433,897,947,802,28,616,532
B012117,669,38,777,924,11,127,849,210,497,349,282,219,469,41,343,941,406,42,394,16,707,262,90,695,727,213,616,937,906,396
B009815,899,75,529,461,75,587,279,603,44,92,675,535,744,278,989,838,596,825,300,931,933,956,317,377,526,704,109,685,602,505
B020885,45,873,18,883,391,737,987,250,986,875,62,13,291,390,42,814,763,494,438,446,353,377,753,396,101,90,642,325,212,257
B014958,786,939,402,793,46,236,426,531,954,348,994,71,632,757,581,556,267,219,499,758,139,117,354,967,788,915,782,671,458,50
B013114,558,180,620,611,98,398,353,361,788,453,681,574,930,480,116,712,744,959,382,374,957,218,434,13,61,313,673,547,226,931
B040764,481,383,373,290,274,525,641,193,508,587,456,317,271,791,85,552,292,923,562,117,706,970,128,482,533,253,511,167,791,61
B050020,780,199,984,400,569,418,259,699,112,153,617,381,989,416,787,27,658,161,862,493,703,440,987,577,390,195,84,0,915,92
B049962,726,664,609,108,804,48,714,188,31,223,68,934,212,871,647,631,93,885,495,248,916,268,577,732,239,937,271,11,365,604
B009536,576,398,203,264,613,569,920,65,574,252,949,683,71,715,726,609,27,108,150,936,532,137,461,189,167,633,113,17,620,388
B013065,502,328,612,815,224,535,464,365,263,229,567,314,638,385,313,942,668,606,391,816,333,720,512,85,305,175,305,894,444,552
B014120,742,47,735,614,945,560,438,655,930,748,486,581,682,200,124,495,2,523,622,473,241,456,226,801,746,144,757,120,239,584
B014176,42,669,260,923,247,490,476,740,480,381,37,307,347,782,196,244,709,852,221,403,278,227,12,968,569,251,994,94,339,525
B007590,955,281,649,869,997,87,492,963,93,782,365,239,337,238,754,542,287,57,563,21,832,94,683,460,515,695,529,176,124,122
B028116,533,535,432,777,189,540,780,190,783,467,755,518,255,967,568,518,738,982,746,518,343,630,776,14,212,884,432,306,279,658
B030949,62,500,273,358,585,248,976,185,222,384,21,644,212,998,244,886,269,840,955,732,475,152,768,865,197,484,118,943,193,819
B032938,871,676,739,679,113,809,117,590,203,11,908,34,646,959,131,876,643,674,993,341,882,660,226,821,589,178,139,383,835,664
B022796,206,643,225,710,549,832,325,925,760,663,826,733,725,114,925,420,116,859,723,587,236,487,825,62,208,850,448,312,898,151
B019316,478,377,374,659,591,70,544,815,73,915,244,672,867,83,632,183,421,638,915,218,193,673,659,459,963,421,719,328,986,917
B024350,836,394,50,724,231,590,896,310,434,587,160,664,405,271,86,704,336,574,421,376,228,961,478,709,400,863,282,263,378,368
B034838,266,286,175,953,376,428,623,745,259,404,717,316,669,30,50,287,974,930,754,77,331,854,23,23,539,882,901,934,297,925
